Brand,Model,Processor,RAM,Storage Capacity,Display Size,OS,GPU,Weight,Warranty,Price,
Hp,HP 15s-GR0514AU,ATHLON 3050U,8GB,1TB,"15.6""",Windows 11,Intel ,1.7,2,99000.00,
Hp,HP 15s-DU3561TU,Intel Core i5,8GB,1TB,"15.6""",Windows 11,Intel ,1.7,2,172000.00,
Hp,HP 15s-DU1114Tu,Intel Celeron,4GB,1TB ,"15.6""",Windows 10,Intel ,1.78,1,87000.00,
Hp,HP 15s-EQ2890AU,AMD Ryzen 3,8GB,512GB,"15.6""",Windows 11,AMD,1.69,2,134000.00,
Hp,HP Envy x360 13-AY0101AU,AMD Ryzen 7,8GB,512GB SSD,"13.3""",Windows 10 ,AMD,1.32,1,245000.00,
Hp,HP Spectre X360 Convertible 13-Aw2062TU,Intel Core i7,16GB, 512GB SSD,"13.3""",Windows 10,Intel ,1.27,1,409000.00,
Hp,HP ProBook 450 G8 Notebook,Intel Core i7,8GB,512GB SSD ,"15.6"" ",Windows 10,Intel ,2.3,3,262000.00,
Hp,HP Pavilion 15-EC1513AX,AMD Ryzen 5,8GB,1TB + 256GB SSD,"15.6""",Windows 11,4GB NVIDIA GeForce,2.46,2,235000.00,
Hp,HP Envy 15-EP1567TX ,Intel Core i5,16GB,1TB SSD,"15.6""",Windows 11,4GB NVIDIA GeForce,2.46,2,342000.00,
Hp,HP Envy 15-EP1890TX,Intel Core i7,16GB,1TB SSD,"15.6"" ",Windows 11,4GB NVIDIA GeForce,2.46,2,392000.00,
Hp,HP Victus 16- D0445TX,Intel Core i7,16GB,512GB SSD,"16.1""",Windows 11,4GB NVIDIA GeForce,2.46,2,348000.00,
Hp,HP Omen 16-C0184AX,AMD Ryzen 7,16GB,512GB SSD,"16.1""",Windows 11,4GB NVIDIA GeForce,2.3,2,360000.00,
Hp,HP omen 16-B0234TX,Intel Core i7,16GB ,1TB SSD,"16.1""",Windows 11,6GB NVIDIA GeForce,2.3,2,450000.00,
Hp,HP 15s-EQ2690AU,AMD Ryzen 5,8GB ,512GB SSD,"15.6""",Windows 10,AMD,1.69,2,175000.00,
Hp,HP ProBook 440 G8 Notebook,Intel Core i7,8GB,512GB SSD,"14.0""",Windows 10 ,Intel ,1.38,3,305000.00,
Hp,HP 15s-DU3786TU,Intel Core i3,8GB,1TB,"15.6""",Windows 11,Intel ,1.75,2,134000.00,
Hp,HP Envy x360 Convert 13-ay1123AU,AMD Ryzen 7,16GB,512GB SSD ,"13.3""",Windows 11,AMD,1.3,2,297000.00,
Hp,HP 15s-DU3562TU,Intel Core i7,8GB,1TB + 256GB SSD,"15.6""",Windows 11,Intel ,1.75,2,228000.00,
Hp,HP Envy x360 Convert 13-ay1678AU,AMD Ryzen 5,8GB ,512GB SSD,"13.3""",Windows 11,AMD,1.3,2,255000.00,
Hp,HP Pavilion x360 Convertible 14,Intel Core i7,16GB,512GB SSD,"14.0""",Windows 11,Intel ,2.3,2,299000.00,
Hp,HP 15s du3633TU,Intel Core i3,8GB,512GB SSD,"15.6""",Windows 11,Intel ,1.7,2,142000.00,
Hp,HP Pavilion Gaming Laptop 15,AMD Ryzen 7,16GB,512GB SSD,"15.6""",Windows 11,4GB NVIDIA GeForce,1.98,2,315000.00,
Hp,HP 15s-DU3786TU,Intel Core i3,4GB,1TB,"15.6""",Windows 11,Intel ,1.75,2,129000.00,
Hp,HP 15s-du3023TU,Intel Core i3 ,4GB,1TB,"15.6""",Windows 10,Intel ,1.75,2,125000.00,
Hp,HP 15Z,AMD Ryzen 5,8GB,256GB SSD,"15.6"" ",Windows 10,AMD,1.75,1,185000.00,
Hp,HP 14-DQ1088 Camo Desing,Intel Core i5,8GB,256GB SSD,"14.0""",Windows 10,Intel ,1.5,1,155000.00,
Hp,HP 15-dy2093dx,Intel Core i5,8GB ,256GB SSD,"15.6""",Windows 10,Intel ,1.69,1,175000.00,
Hp,HP 15,AMD Athlon Silver,4GB ,128GB SSD,"15.6""",Windows 10,AMD,1.69,0,99500.00,
Hp,HP ProBook 455 G7,AMD Ryzen 5,8GB,256GB SSD,"15.6""",Windows 10,AMD,1.7,1,185000.00,
Hp,HP Spectre X360 Convertible 14,Intel Core i5,8GB,512GB SSD,"13.3""",Windows 11,Intel ,1.75,2,332000.00,
Hp,HP 14S,AMD Ryzen 3,4GB,128GB SSD,"14.0""",Windows 10,AMD,1.5,1,114000.00,
Hp,HP Pavilion x360 14M-DW1013 2-IN-1 CONVERTIBLE,Intel Core i3,8GB ,128Gb SSD,"14.0""",Windows 10,Intel ,1.75,1,155000.00,
Hp,HP Pavilion 14-DV0010,Intel Core i5,8GB,256GB SSD,"14.0""",Windows 10,Intel ,1.41,1,180000.00,
Hp,HP 15,AMD Ryzen 3,4GB ,128GB SSD,"15.6""",Windows 10,AMD,1.75,1,115000.00,
Hp,HP 15-ef1013,AMD Ryzen 7,8GB,512GB SSD,"15.6""",Windows 10,AMD,1.75,1,207000.00,
Hp,HP Pavilion x360 14 DW1010 2-IN-1 CONVERTIBLE,Intel Core i5,8GB ,256GB SSD,"14.0""",Windows 10 ,Intel ,1.75,1,203000.00,
Hp,HP 15,AMD Ryzen 7,8GB ,512GB SSD,"15.6""",Windows 10,AMD,1.75,1,205000.00,
Hp,HP 15 ,AMD Ryzen 5,8GB ,256GB SSD,"15.6""",Windows 10,AMD,1.75,0,165000.00,
Hp,HP ProBook 440 G8 Notebook,Intel Core i5,8GB,512GB SSD,"14.0""",Windows 10,Intel ,1.38,3,235000.00,
Hp,HP ProBook 450 G8 Notebook,Intel Core i7,8GB,512GB SSD,"15.6""",Windows 10,2GB NVIDIA GeForce,2.3,3,285000.00,
Asus,Asus M515,AMD Ryzen 3,4GB,1TB,"15.6""",Windows 10,AMD,1.8,1,139000.00,
Asus,Asus VivoBook K513EA-L11647T,Intel Core i3,4GB,512GB SSD,"15.6""",Windows 10,Intel ,1.8,2,168000.00,
Asus,Asus VivoBook M513UA-L1289T,AMD Ryzen 7,8GB,512GB SSD,"15.6""",Windows 10 ,AMD,1.8,2,255000.00,
Asus,Asus ExpertBook L1500CDA-BQ0655,AMD Ryzen 3,4GB,256GB SSD,"15.6""",Windows 10,AMD ,1.8,2,131500.00,
Asus,Asus VivoBook M513UA-L1288T,AMD Ryzen 5,8GB,512GB SSD,"15.6""",Windows 11,AMD,1.8,2,219000.00,
Asus,Asus Zenbook Flip 13 UX363EA-HP106T,Intel Core i7,16GB ,512GB SSD,"13.3""",Windows 10,Intel ,1.3,2,393000.00,
