Timestamp,Gender,Age Range,Occupation,Monthly Income Range,Laptop Brand,RAM,Processor
3/9/2022 12:59:00,Male,21 - 30,Associate software engineer,50k - 100k,Asus,16GB,Intel Core i5
3/9/2022 12:59:31,Male,21 - 30,Associate software engineer,50k - 100k,Asus,8GB,Intel Core i5
3/9/2022 13:10:18,Male,21 - 30,Undergraduate,Unpaid,Dell,4GB,Intel Core i7
3/9/2022 13:11:14,Male,21 - 30,Associate software engineer,50k - 100k,MSI,16GB,Intel Core i5
3/9/2022 13:12:05,Male,10 - 20,Student,Unpaid,Accer,8GB,Intel Core i5
3/9/2022 13:12:55,Male,21 - 30,Undergraduate,Unpaid,Asus,8GB,Intel Core i7
3/9/2022 13:13:30,Male,21 - 30,Associate software engineer,50k - 100k,Dell,8GB,Intel Core i7
3/9/2022 13:13:30,Male,21 - 30,Software engineer,50k - 100k,Asus,16GB,Intel Core i5
3/9/2022 13:16:47,Male,21 - 30,Software engineer,100k - 150k,Accer,16GB,Intel Core i5
3/9/2022 13:20:31,Male,21 - 30,Associate software engineer,10k - 50k,HP,8GB,Intel Core i5
3/9/2022 13:24:49,Male,21 - 30,Associate software engineer,10k - 50k,Accer,16GB,Intel Core i7
3/9/2022 13:27:32,Male,21 - 30,Undergraduate,Unpaid,Accer,8GB,Dual Core
3/9/2022 13:28:37,Female,21 - 30,Undergraduate,Unpaid,HP,8GB,Intel Core i3
3/9/2022 13:29:39,Male,21 - 30,Software engineer,150k - 200k,HP,8GB,Intel Core i5
3/9/2022 13:32:56,Male,21 - 30,Senior software engineer,10k - 50k,Accer,16GB,Intel Core i7
3/9/2022 13:34:31,Male,21 - 30,Undergraduate,10k - 50k,HP,4GB,Celron
3/9/2022 13:34:50,Male,21 - 30,Software engineer,150k - 200k,Asus,16GB,Intel Core i7
3/9/2022 13:34:52,Male,21 - 30,Undergraduate,Unpaid,Dell,8GB,Intel Core i5
3/9/2022 13:39:09,Male,21 - 30,Undergraduate,10k - 50k,HP,8GB,Intel Core i5
3/9/2022 13:40:54,Male,21 - 30,Software engineer,150k - 200k,Apple,8GB,M1
3/9/2022 13:41:25,Female,21 - 30,Undergraduate,Unpaid,Accer,8GB,Intel Core i5
3/9/2022 13:44:15,Female,21 - 30,Undergraduate,Unpaid,Accer,4GB,Intel Core i3
3/9/2022 13:46:03,Female,21 - 30,Undergraduate,Unpaid,HP,8GB,Intel Core i5
3/9/2022 13:48:45,Male,21 - 30,Undergraduate,10k - 50k,Apple,16GB,Intel Core i7
3/9/2022 13:52:51,Female,21 - 30,Student,10k - 50k,Accer,8GB,Intel Core i5
3/9/2022 14:00:34,Male,21 - 30,Undergraduate,50k - 100k,HP,16GB,Intel Core i5
3/9/2022 14:01:33,Male,21 - 30,Undergraduate,Unpaid,Asus,16GB,Intel Core i7
3/9/2022 14:10:48,Male,21 - 30,Undergraduate,Unpaid,Accer,4GB,Intel Core i3
3/9/2022 14:13:27,Male,21 - 30,Undergraduate,Unpaid,HP,8GB,Intel Core i7
3/9/2022 14:14:11,Male,21 - 30,Undergraduate,50k - 100k,Asus,16GB,Intel Core i5
3/9/2022 14:16:50,Male,21 - 30,Undergraduate,10k - 50k,Dell,16GB,Intel Core i7
3/9/2022 14:24:39,Female,21 - 30,Associate technical lead,10k - 50k,HP,4GB,Dual Core
3/9/2022 14:26:56,Male,21 - 30,Undergraduate,Unpaid,Accer,4GB,Intel Core i3
3/9/2022 14:33:38,Female,21 - 30,Undergraduate,Unpaid,Accer,8GB,Intel Core i5
3/9/2022 14:34:53,Female,21 - 30,Software engineer,150k - 200k,Apple,8GB,M1 Chipset
3/9/2022 14:38:35,Male,21 - 30,Undergraduate,Unpaid,Asus,8GB,Intel Core i5
3/9/2022 14:40:03,Male,21 - 30,Undergraduate,Unpaid,Asus,16GB,Intel Core i7
3/9/2022 14:40:57,Male,21 - 30,Undergraduate,Unpaid,Asus,8GB,Intel Core i5
3/9/2022 14:41:46,Male,21 - 30,Undergraduate,10k - 50k,HP,12GB,Intel Core i5
3/9/2022 14:57:36,Male,21 - 30,Associate software engineer,50k - 100k,Asus,8GB,Intel Core i5
3/9/2022 14:59:06,Male,21 - 30,Undergraduate,Unpaid,HP,12GB,Intel Core i7
3/9/2022 15:00:43,Male,21 - 30,Associate software engineer,50k - 100k,HP,8GB,Intel Core i5
3/9/2022 15:03:33,Female,21 - 30,Undergraduate,Unpaid,Asus,8GB,Intel Core i5
3/9/2022 15:06:11,Female,21 - 30,Undergraduate,Unpaid,Dell,4GB,Intel Core i3
3/9/2022 15:12:15,Male,21 - 30,Undergraduate,50k - 100k,Asus,16GB,Intel Core i7
3/9/2022 15:13:04,Female,21 - 30,Teacher,10k - 50k,HP,8GB,Dual Core
3/9/2022 15:17:58,Male,21 - 30,Undergraduate,Unpaid,HP,16GB,Intel Core i5
3/9/2022 15:35:18,Male,21 - 30,Undergraduate,10k - 50k,Dell,4GB,Intel Core i5
3/9/2022 15:38:39,Female,21 - 30,Undergraduate,10k - 50k,Dell,8GB,AMD Ryzen 7
3/9/2022 15:46:48,Male,21 - 30,Undergraduate,Unpaid,Asus,8GB,Intel Core i5
3/9/2022 15:54:44,Female,21 - 30,Undergraduate,Unpaid,HP,32GB,AMD Ryzen 5
3/9/2022 15:57:39,Female,21 - 30,Undergraduate,Unpaid,Dell,8GB,Intel Core i5
3/9/2022 16:00:31,Male,21 - 30,Undergraduate,Unpaid,Accer,4GB,Intel Core i5
3/9/2022 16:14:18,Male,21 - 30,Undergraduate,Unpaid,Accer,8GB,Intel Core i5
3/9/2022 16:24:33,Male,21 - 30,Associate software engineer,50k - 100k,Accer,8GB,Intel Core i5
3/9/2022 16:25:40,Male,21 - 30,Undergraduate,Unpaid,HP,8GB,AMD Ryzen 7
3/9/2022 16:41:11,Female,21 - 30,Undergraduate,Unpaid,Dell,16GB,Intel Core i3
3/9/2022 16:43:56,Male,21 - 30,Undergraduate,Unpaid,Dell,8GB,Intel Core i7
3/9/2022 16:46:16,Male,21 - 30,Undergraduate,Unpaid,HP,4GB,Intel Core i5
3/9/2022 16:48:52,Male,21 - 30,Undergraduate,Unpaid,Dell,4GB,Intel Core i3
3/9/2022 16:53:59,Female,21 - 30,Undergraduate,Unpaid,Asus,8GB,Intel Core i5
3/9/2022 16:55:14,Female,21 - 30,Student,Unpaid,HP,8GB,Intel Core i5
3/9/2022 16:58:13,Female,21 - 30,Undergraduate,Unpaid,Dell,8GB,Intel Core i7
3/9/2022 16:58:22,Male,21 - 30,Undergraduate,Unpaid,Dell,4GB,Dual Core
3/9/2022 17:12:57,Male,21 - 30,Undergraduate,Unpaid,HP,4GB,Intel Core i3
3/9/2022 17:17:19,Male,21 - 30,Student,10k - 50k,HP,4GB,AMD Ryzen 3
3/9/2022 17:18:48,Female,21 - 30,Undergraduate,Unpaid,Samsung,4GB,Intel Core i5
